Kode MK,Nama MK,Prodi MK,Prioritas,Berminat,Nama Dosen,SKS,Praktikum,Kewajiban
CSD60714,Jaminan Kualitas Perangkat Lunak,Teknologi Informasi,1,Pengampu,60,3,0,0
CSD60714,Jaminan Kualitas Perangkat Lunak,Teknologi Informasi,1,Pengampu,67,3,0,0
CIE61206,Jaringan Komputer,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",17,3,1,1
CIE61206,Jaringan Komputer,Pendidikan Teknologi Informasi,1,Pengampu,39,3,1,1
CIE61206,Jaringan Komputer,Pendidikan Teknologi Informasi,1,Pengampu,75,3,1,1
CIE61206,Jaringan Komputer,Pendidikan Teknologi Informasi,1,Pengampu,79,3,1,1
CIT61015,Jaringan Komputer,Teknologi Informasi,1,"Pengelola, Pengampu",79,4,1,1
CIT61015,Jaringan Komputer,Teknologi Informasi,1,Pengampu,17,4,1,1
CIT61015,Jaringan Komputer,Teknologi Informasi,1,Pengampu,35,4,1,1
CIT61015,Jaringan Komputer,Teknologi Informasi,1,Pengampu,75,4,1,1
CIT61015,Jaringan Komputer,Teknologi Informasi,1,Pengampu,90,4,1,1
CIT61015,Jaringan Komputer,Teknologi Informasi,1,Pengampu,104,4,1,1
CIT61015,Jaringan Komputer,Teknologi Informasi,2,"Pengelola, Pengampu",46,4,1,1
CSD60713,Jaringan Terapan,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",17,3,0,0
CSD60713,Jaringan Terapan,Pendidikan Teknologi Informasi,1,Pengampu,90,3,0,0
CSD60713,Jaringan Terapan,Teknologi Informasi,1,Pengampu,79,3,1,0
CSD60713,Jaringan Terapan,Teknologi Informasi,1,Pengampu,90,3,1,0
COM60025,Kalkulus,Teknologi Informasi,1,Pengampu,100,2,0,1
COM60025,Kalkulus,Teknologi Informasi,2,Pengampu,75,2,0,1
COM60025,Kalkulus,Teknologi Informasi,2,Pengampu,103,2,0,1
CIE61301,Kalkulus dan Aljabar Linear,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",103,3,0,1
CIE61301,Kalkulus dan Aljabar Linear,Pendidikan Teknologi Informasi,1,Pengampu,100,3,0,1
CIE61301,Kalkulus dan Aljabar Linear,Pendidikan Teknologi Informasi,2,Pengampu,75,3,0,1
CIT60044,Keamanan Data dan Privasi,Teknologi Informasi,1,"Pengelola, Pengampu",46,3,1,0
CIT60044,Keamanan Data dan Privasi,Teknologi Informasi,1,Pengampu,17,3,1,0
CIT60044,Keamanan Data dan Privasi,Teknologi Informasi,1,Pengampu,35,3,1,0
CIT60044,Keamanan Data dan Privasi,Teknologi Informasi,1,Pengampu,41,3,1,0
CIT60044,Keamanan Data dan Privasi,Teknologi Informasi,1,Pengampu,63,3,1,0
CIT60044,Keamanan Data dan Privasi,Teknologi Informasi,1,Pengampu,65,3,1,0
CIT60044,Keamanan Data dan Privasi,Teknologi Informasi,1,Pengampu,75,3,1,0
CIS61128,Keamanan Jaringan dan Siber,Sistem Informasi,1,Pengampu,17,3,0,0
CIS61106,Keamanan dan Privasi Data,Sistem Informasi,1,Pengampu,17,2,0,1
CIS61106,Keamanan dan Privasi Data,Sistem Informasi,1,Pengampu,75,2,0,1
CIS61106,Keamanan dan Privasi Data,Sistem Informasi,1,Pengampu,108,2,0,1
UBU60003,Kewirausahaan,Pendidikan Teknologi Informasi,2,Pengampu,62,2,0,1
UBU60003,Kewirausahaan,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",87,2,0,1
UBU60003,Kewirausahaan,Sistem Informasi,2,"Pengelola, Pengampu",47,2,0,1
UBU60003,Kewirausahaan,Sistem Informasi,2,Pengampu,62,2,0,1
UBU60003,Kewirausahaan,Teknologi Informasi,1,Pengampu,15,2,0,1
UBU60003,Kewirausahaan,Teknologi Informasi,2,"Pengelola, Pengampu",47,2,0,1
UBU60003,Kewirausahaan,Teknologi Informasi,2,Pengampu,62,2,0,1
UBU60003,Kewirausahaan,Teknologi Informasi,2,Pengampu,96,2,0,1
CIE61103,Komunikasi dan Teknologi Pendidikan,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",103,3,0,1
CIE61103,Komunikasi dan Teknologi Pendidikan,Pendidikan Teknologi Informasi,1,Pengampu,39,3,0,1
CIS61115,Komunikasi Profesional,Sistem Informasi,1,Pengampu,87,2,0,1
CIS61115,Komunikasi Profesional,Sistem Informasi,1,Pengampu,108,2,0,1
CIT60045,Kriptografi,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",14,3,0,0
CIT60045,Kriptografi,Teknologi Informasi,1,Pengampu,75,3,0,0
CIS61103,Manajemen Bisnis,Sistem Informasi,1,Pengampu,87,2,0,1
CIS61103,Manajemen Bisnis,Sistem Informasi,1,Pengampu,108,2,0,1
CSD60701,Manajemen Layanan Teknologi Informasi,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",108,3,0,0
CSD60701,Manajemen Layanan Teknologi Informasi,Pendidikan Teknologi Informasi,1,Pengampu,6,3,0,0
CSD60701,Manajemen Layanan Teknologi Informasi,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94,2,0,0
CSD60701,Manajemen Layanan Teknologi Informasi,Sistem Informasi,1,"Pengelola, Pengampu",108,2,0,0
CSD60701,Manajemen Layanan Teknologi Informasi,Sistem Informasi,1,Pengampu,6,2,0,0
CSD60701,Manajemen Layanan Teknologi Informasi,Sistem Informasi,1,Pengampu,15,2,0,0
CSD60701,Manajemen Layanan Teknologi Informasi,Sistem Informasi,1,Pengampu,21,2,0,0
CSD60701,Manajemen Layanan Teknologi Informasi,Sistem Informasi,1,Pengampu,87,2,0,0
CSD60701,Manajemen Layanan Teknologi Informasi,Sistem Informasi,2,"Pengelola, Pengampu",47,2,0,0
CSD60701,Manajemen Layanan Teknologi Informasi,Sistem Informasi,2,Pengampu,22,2,0,0
CIS61107,Manajemen Produk,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47,3,0,1
CIS61107,Manajemen Produk,Sistem Informasi,1,"Pengelola, Pengampu",60,3,0,1
CIE61404,Manajemen Proyek Teknologi Informasi,Pendidikan Teknologi Informasi,1,Pengampu,6,3,0,0
CIE61404,Manajemen Proyek Teknologi Informasi,Pendidikan Teknologi Informasi,1,Pengampu,60,3,0,0
CIE61404,Manajemen Proyek Teknologi Informasi,Pendidikan Teknologi Informasi,1,Pengampu,67,3,0,0
CIE61404,Manajemen Proyek Teknologi Informasi,Pendidikan Teknologi Informasi,1,Pengampu,76,3,0,0
CIE61404,Manajemen Proyek Teknologi Informasi,Pendidikan Teknologi Informasi,2,Pengampu,62,3,0,0
CIE61404,Manajemen Proyek Teknologi Informasi,Pendidikan Teknologi Informasi,2,Pengampu,105,3,0,0
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94,3,0,0
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,1,"Pengelola, Pengampu",6,3,0,0
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,1,Pengampu,13,3,0,0
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,1,Pengampu,22,3,0,0
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,1,Pengampu,40,3,0,0
CIT60031,Manajemen Proyek Teknologi Informasi,Teknologi Informasi,1,Pengampu,48,3,0,0
