Hari,Jam_Mulai,Jam_Selesai,Prodi,Kode_MK,Kelas,Nama_MK,Jenis,Ruang,Gedung,Lantai,Tipe_Ruang,Dosen,Dosen_Berminat,SKS,Kewajiban,Feasible
Mon,07:00,07:50,Teknologi Informasi,CSD60707,A,Big Data dan Analitik,lecture,F3.5b,F,3,Kelas,48,True,3,0,False
Mon,07:00,07:50,Sistem Informasi,CSD60701,A,Manajemen Layanan Teknologi Informasi,lecture,F3.6,F,3,Kelas,6,True,2,0,False
Mon,07:00,07:50,Pendidikan Teknologi Informasi,CIE61112,C,Pengenalan Lapangan Persekolahan 2,lecture,F3.8,F,3,Kelas,39,True,3,1,False
Mon,07:00,07:50,Sistem Informasi,CIS61102,B,Infrastruktur Teknologi Informasi,lecture,F3.9,F,3,Kelas,94,False,2,1,False
Mon,07:00,07:50,Sistem Informasi,CIS61113,B,Sistem Enterprise,lecture,F4.9,F,4,Kelas,76,True,3,1,False
Mon,07:00,07:50,Teknologi Informasi,CIT61006,C,Pengembangan Aplikasi Web,practicum,G1.2,G,1,Lab,105,True,4,1,False
Mon,07:50,08:40,Sistem Informasi,CIS61111,A,Sistem Informasi berbasis Kecerdasan Buatan,lecture,F11.1,F,11,Kelas,89,True,2,1,False
Mon,07:50,08:40,Sistem Informasi,CSD60703,A,Tata Kelola Teknologi Informasi,lecture,F11.3,F,11,Kelas,108,True,3,1,False
Mon,07:50,08:40,Sistem Informasi,CIS61107,D,Manajemen Produk,lecture,F2.4,F,2,Kelas,47,True,3,1,False
Mon,07:50,08:40,Teknologi Informasi,COM60025,B,Kalkulus,lecture,F2.8,F,2,Kelas,75,True,2,1,False
Mon,07:50,08:40,Teknologi Informasi,CIT60051,A,Teknologi Smart City,lecture,F3.11,F,3,Kelas,6,True,2,0,False
Mon,07:50,08:40,Sistem Informasi,CIS61125,A,Pengantar GeoInformasi,lecture,F3.12,F,3,Kelas,87,True,3,0,False
Mon,07:50,08:40,Sistem Informasi,COM60016,D,Pengantar Keilmuan Komputer,lecture,F3.16,F,3,Kelas,90,True,2,1,False
Mon,07:50,08:40,Sistem Informasi,CSD60704,C,Desain Basis Data,lecture,F3.2,F,3,Kelas,72,True,2,1,False
