Kode MK,Nama MK,Prodi MK,Prioritas,Berminat,Nama Dosen,Kode MK_y,SKS,Praktikum,Kewajiban
COM60016,Pengantar Keilmuan Komputer,Teknologi Informasi,1,Pengampu,83,COM60016,2,0,1
COM60016,Pengantar Keilmuan Komputer,Teknologi Informasi,1,Pengampu,90,COM60016,2,0,1
COM60016,Pengantar Keilmuan Komputer,Teknologi Informasi,1,Pengampu,102,COM60016,2,0,1
COM60016,Pengantar Keilmuan Komputer,Teknologi Informasi,1,Pengampu,108,COM60016,2,0,1
COM60016,Pengantar Keilmuan Komputer,Teknologi Informasi,2,Pengampu,62,COM60016,2,0,1
COM60016,Pengantar Keilmuan Komputer,Teknologi Informasi,2,Pengampu,103,COM60016,2,0,1
CIT62012,Pengembangan Aplikasi Mobile,Teknologi Informasi,1,"Pengelola, Pengampu",16,CIT62012,4,1,1
CIT62012,Pengembangan Aplikasi Mobile,Teknologi Informasi,1,"Pengelola, Pengampu",47,CIT62012,4,1,1
CIT62012,Pengembangan Aplikasi Mobile,Teknologi Informasi,1,Pengampu,20,CIT62012,4,1,1
CIT62012,Pengembangan Aplikasi Mobile,Teknologi Informasi,1,Pengampu,31,CIT62012,4,1,1
CIT62012,Pengembangan Aplikasi Mobile,Teknologi Informasi,1,Pengampu,60,CIT62012,4,1,1
CIT62012,Pengembangan Aplikasi Mobile,Teknologi Informasi,1,Pengampu,70,CIT62012,4,1,1
CIT62012,Pengembangan Aplikasi Mobile,Teknologi Informasi,1,Pengampu,75,CIT62012,4,1,1
CIT62012,Pengembangan Aplikasi Mobile,Teknologi Informasi,2,"Pengelola, Pengampu",22,CIT62012,4,1,1
CIT62012,Pengembangan Aplikasi Mobile,Teknologi Informasi,2,Pengampu,96,CIT62012,4,1,1
CIT60052,Pengembangan Aplikasi Mobile Terapan,Teknologi Informasi,1,Pengampu,16,CIT60052,3,0,0
CIT60052,Pengembangan Aplikasi Mobile Terapan,Teknologi Informasi,1,Pengampu,20,CIT60052,3,0,0
CIT60052,Pengembangan Aplikasi Mobile Terapan,Teknologi Informasi,2,"Pengelola, Pengampu",47,CIT60052,3,0,0
CIT61006,Pengembangan Aplikasi Web,Teknologi Informasi,1,"Pengelola, Pengampu",4,CIT61006,4,1,1
CIT61006,Pengembangan Aplikasi Web,Teknologi Informasi,1,"Pengelola, Pengampu",47,CIT61006,4,1,1
CIT61006,Pengembangan Aplikasi Web,Teknologi Informasi,1,"Pengelola, Pengampu",105,CIT61006,4,1,1
CIT61006,Pengembangan Aplikasi Web,Teknologi Informasi,1,Pengampu,31,CIT61006,4,1,1
CIT61006,Pengembangan Aplikasi Web,Teknologi Informasi,1,Pengampu,60,CIT61006,4,1,1
CIT61006,Pengembangan Aplikasi Web,Teknologi Informasi,1,Pengampu,75,CIT61006,4,1,1
CIT61006,Pengembangan Aplikasi Web,Teknologi Informasi,1,Pengampu,82,CIT61006,4,1,1
CIT61006,Pengembangan Aplikasi Web,Teknologi Informasi,2,"Pengelola, Pengampu",103,CIT61006,4,1,1
CIT61006,Pengembangan Aplikasi Web,Teknologi Informasi,2,Pengampu,62,CIT61006,4,1,1
CIT60039,Pengembangan Aplikasi Web Lanjut,Teknologi Informasi,1,"Pengelola, Pengampu",4,CIT60039,3,0,0
