Kode MK,Nama MK,Prodi MK,Prioritas,Berminat,Nama Dosen,Kode MK_y,SKS,Praktikum,Kewajiban
CIS62115,Manajemen Investasi Teknologi Informasi,Sistem Informasi,1,Pengampu,13,CIS62115,3,0,0
CIS62115,Manajemen Investasi Teknologi Informasi,Sistem Informasi,1,Pengampu,22,CIS62115,3,0,0
CIS62115,Manajemen Investasi Teknologi Informasi,Sistem Informasi,1,Pengampu,49,CIS62115,3,0,0
CIS62115,Manajemen Investasi Teknologi Informasi,Sistem Informasi,1,Pengampu,60,CIS62115,3,0,0
CIS62115,Manajemen Investasi Teknologi Informasi,Sistem Informasi,1,Pengampu,87,CIS62115,3,0,0
CIS62115,Manajemen Investasi Teknologi Informasi,Sistem Informasi,2,Pengampu,53,CIS62115,3,0,0
CSD60701,Manajemen Layanan Teknologi Informasi,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94,CSD60701,2,0,0
CSD60701,Manajemen Layanan Teknologi Informasi,Sistem Informasi,1,"Pengelola, Pengampu",108,CSD60701,2,0,0
CSD60701,Manajemen Layanan Teknologi Informasi,Sistem Informasi,1,Pengampu,6,CSD60701,2,0,0
CSD60701,Manajemen Layanan Teknologi Informasi,Sistem Informasi,1,Pengampu,15,CSD60701,2,0,0
CSD60701,Manajemen Layanan Teknologi Informasi,Sistem Informasi,1,Pengampu,21,CSD60701,2,0,0
CSD60701,Manajemen Layanan Teknologi Informasi,Sistem Informasi,1,Pengampu,87,CSD60701,2,0,0
CSD60701,Manajemen Layanan Teknologi Informasi,Sistem Informasi,2,"Pengelola, Pengampu",47,CSD60701,2,0,0
CSD60701,Manajemen Layanan Teknologi Informasi,Sistem Informasi,2,Pengampu,22,CSD60701,2,0,0
CIS61107,Manajemen Produk,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47,CIS61107,3,0,1
CIS61107,Manajemen Produk,Sistem Informasi,1,"Pengelola, Pengampu",60,CIS61107,3,0,1
CIS62117,Manajemen Rantai Suplai,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",53,CIS62117,2,0,0
